ContainerID	VesselCallID	ImporterID	ImporterName	Industry	YardBlockID	Terminal	Zone	ArrivalTime	YardInTime	CustomsSubmitTime	CustomsApproveTime	YardOutTime	ExitTime	Status	IsCustomsCleared	IsExited	UnloadToYardHrs	YardToCustomsSubmitHrs	CustomsHoldHrs	ApprovalToPickupHrs	YardOutToExitHrs	TotalDwellHrs	ArrivalDateKey	LoadDate
C000315	VC00618	I027	Importer 27	Retail	Y04	Terminal A	Import	2025-11-23 05:23:00.000000	2025-11-23 06:41:00.000000	2025-11-23 08:45:00.000000	2025-11-25 04:45:00.000000	2025-11-27 17:45:00.000000	2025-11-27 19:05:00.000000	Exited	1	1	1.3	2.07	44	61	1.33	109.7	20251123	2026-06-25
C000321	VC00741	I018	Importer 18	Automotive	Y04	Terminal A	Import	2025-05-13 14:54:00.000000	2025-05-13 17:00:00.000000	2025-05-13 20:33:00.000000	2025-05-14 17:33:00.000000	2025-05-16 19:33:00.000000	2025-05-16 21:26:00.000000	Exited	1	1	2.1	3.55	21	50	1.88	78.53	20250513	2026-06-25
C000330	VC00767	I021	Importer 21	Pharmaceutical	Y05	Terminal A	Export	2025-11-28 21:15:00.000000	2025-11-29 00:03:00.000000	2025-11-29 01:45:00.000000	2025-11-30 20:45:00.000000	2025-12-01 01:45:00.000000	2025-12-01 03:16:00.000000	Exited	1	1	2.8	1.7	43	5	1.52	54.02	20251128	2026-06-25
C000332	VC00188	I022	Importer 22	Construction	Y03	Terminal A	Export	2026-11-24 20:04:00.000000	2026-11-24 23:00:00.000000	2026-11-25 00:25:00.000000	2026-11-26 22:25:00.000000	2026-11-28 23:25:00.000000	2026-11-28 23:47:00.000000	Exited	1	1	2.93	1.42	46	49	0.37	99.72	20261124	2026-06-25
C000333	VC00391	I026	Importer 26	Electronics	Y05	Terminal A	Export	2026-03-04 20:47:00.000000	2026-03-04 21:59:00.000000	2026-03-05 01:28:00.000000	2026-03-05 13:28:00.000000	2026-03-08 04:28:00.000000	2026-03-08 06:16:00.000000	Exited	1	1	1.2	3.48	12	63	1.8	81.48	20260304	2026-06-25
C000337	VC00444	I014	Importer 14	Automotive	Y04	Terminal A	Import	2026-10-24 18:23:00.000000	2026-10-24 21:05:00.000000	2026-10-24 22:10:00.000000	2026-10-26 05:10:00.000000	2026-10-27 19:10:00.000000	2026-10-27 19:43:00.000000	Exited	1	1	2.7	1.08	31	38	0.55	73.33	20261024	2026-06-25
C000341	VC00679	I039	Importer 39	Construction	Y03	Terminal A	Export	2026-01-17 20:05:00.000000	2026-01-17 20:28:00.000000	2026-01-17 21:28:00.000000	2026-01-19 05:28:00.000000	2026-01-20 20:28:00.000000	2026-01-20 22:11:00.000000	Exited	1	1	0.38	1	32	39	1.72	74.1	20260117	2026-06-25
C000348	VC00197	I039	Importer 39	Construction	Y03	Terminal A	Export	2026-06-13 01:35:00.000000	2026-06-13 02:21:00.000000	2026-06-13 06:03:00.000000	2026-06-15 01:03:00.000000	2026-06-15 17:03:00.000000	2026-06-15 17:41:00.000000	Exited	1	1	0.77	3.7	43	16	0.63	64.1	20260613	2026-06-25
C000349	VC00106	I037	Importer 37	Electronics	Y04	Terminal A	Import	2026-05-23 04:02:00.000000	2026-05-23 06:39:00.000000	2026-05-23 09:03:00.000000	2026-05-23 17:03:00.000000	2026-05-23 23:03:00.000000	2026-05-23 23:34:00.000000	Exited	1	1	2.62	2.4	8	6	0.52	19.53	20260523	2026-06-25
C000350	VC00290	I033	Importer 33	Construction	Y05	Terminal A	Export	2026-08-07 07:22:00.000000	2026-08-07 07:59:00.000000	2026-08-07 10:52:00.000000	2026-08-07 13:52:00.000000	2026-08-08 00:52:00.000000	2026-08-08 01:22:00.000000	Exited	1	1	0.62	2.88	3	11	0.5	18	20260807	2026-06-25
C000353	VC00599	I003	Importer 3	Retail	Y04	Terminal A	Import	2026-01-20 11:00:00.000000	2026-01-20 13:50:00.000000	2026-01-20 16:37:00.000000	2026-01-22 13:37:00.000000	2026-01-23 02:37:00.000000	2026-01-23 04:16:00.000000	Exited	1	1	2.83	2.78	45	13	1.65	65.27	20260120	2026-06-25
C000354	VC00767	I036	Importer 36	Retail	Y04	Terminal A	Import	2025-11-28 20:18:00.000000	2025-11-28 21:21:00.000000	2025-11-28 22:27:00.000000	2025-11-29 12:27:00.000000	2025-11-30 06:27:00.000000	2025-11-30 07:59:00.000000	Exited	1	1	1.05	1.1	14	18	1.53	35.68	20251128	2026-06-25
C000355	VC00932	I017	Importer 17	Retail	Y05	Terminal A	Export	2026-11-25 02:03:00.000000	2026-11-25 03:29:00.000000	2026-11-25 04:31:00.000000	2026-11-26 08:31:00.000000	2026-11-26 18:31:00.000000	2026-11-26 19:56:00.000000	Exited	1	1	1.43	1.03	28	10	1.42	41.88	20261125	2026-06-25
C000360	VC00922	I018	Importer 18	Automotive	Y03	Terminal A	Export	2026-08-06 01:28:00.000000	2026-08-06 01:59:00.000000	2026-08-06 03:53:00.000000	2026-08-07 03:53:00.000000	2026-08-08 22:53:00.000000	2026-08-09 00:47:00.000000	Exited	1	1	0.52	1.9	24	43	1.9	71.32	20260806	2026-06-25
C000361	VC00531	I008	Importer 8	Electronics	Y03	Terminal A	Export	2025-10-08 14:55:00.000000	2025-10-08 16:20:00.000000	2025-10-08 16:52:00.000000	2025-10-09 07:52:00.000000	2025-10-11 08:52:00.000000	2025-10-11 09:20:00.000000	Exited	1	1	1.42	0.53	15	49	0.47	66.42	20251008	2026-06-25
C000365	VC00589	I009	Importer 9	Construction	Y03	Terminal A	Export	2026-06-05 17:05:00.000000	2026-06-05 18:26:00.000000	2026-06-05 18:58:00.000000	2026-06-07 16:58:00.000000	2026-06-08 12:58:00.000000	2026-06-08 14:37:00.000000	Exited	1	1	1.35	0.53	46	20	1.65	69.53	20260605	2026-06-25
C000366	VC00269	I050	Importer 50	Retail	Y04	Terminal A	Import	2026-09-28 13:13:00.000000	2026-09-28 15:53:00.000000	2026-09-28 19:31:00.000000	2026-09-30 18:31:00.000000	2026-10-02 18:31:00.000000	2026-10-02 20:16:00.000000	Exited	1	1	2.67	3.63	47	48	1.75	103.05	20260928	2026-06-25
C000367	VC00800	I019	Importer 19	Pharmaceutical	Y05	Terminal A	Export	2025-07-04 20:34:00.000000	2025-07-04 22:46:00.000000	2025-07-05 00:02:00.000000	2025-07-05 23:02:00.000000	2025-07-08 11:02:00.000000	2025-07-08 12:21:00.000000	Exited	1	1	2.2	1.27	23	60	1.32	87.78	20250704	2026-06-25
C000368	VC00284	I015	Importer 15	Construction	Y05	Terminal A	Export	2025-06-04 04:39:00.000000	2025-06-04 07:07:00.000000	2025-06-04 10:40:00.000000	NULL	NULL	NULL	In Yard	0	0	2.47	3.55	NULL	NULL	NULL	NULL	20250604	2026-06-25
